no,Av.Pred,response
659,0.00046135,0
660,0.000221698,0
661,0.085500052,0
662,0.000666661,0
663,0.05990749,0
664,0.320423423,1
665,0.004191663,0
666,0.000271908,0
667,6.30E-11,0
668,3.91E-06,0
669,0.135006409,0
670,0.003040064,0
671,0.067846738,0
672,0.024332774,0
673,0.015511708,0
674,0.001199739,0
675,0.007217667,0
676,0.002204706,0
677,0.124054739,0
678,0.003364347,0
679,0.008852834,0
680,0.039282913,0
681,7.65E-05,0
682,0.026326439,0
683,0.004557226,0
684,0.310415305,1
685,1.40167973,1
686,0.000710332,0
687,0.00314008,0
688,0.031209564,0
689,0.002161709,0
690,0.053141842,0
691,0.154240778,1
692,0.00302854,0
693,0.015183829,0
694,0.000942278,0
695,0.036316654,0
696,0.06566754,0
697,0.006363595,0
698,0.000495978,0
699,0.017544041,0
700,0.009347181,0
701,0.606495943,1
702,0.069264789,0
703,0.00315837,0
704,0.003232288,0
705,0.123594422,0
706,0.000742805,0
707,0.11040992,0
708,0.00081617,0
709,0.017855603,0
710,0.000447531,0
711,0.000463704,0
712,0.059889341,0
713,0.036316654,0
714,0.121234886,0
715,0.004463383,0
716,3.64E-06,0
717,0.001612619,0
718,0.021643494,0
719,0.649317392,1
720,0.196722071,1
721,0.009674704,0
722,0.00934139,0
723,0.006523709,0
724,0.071030323,0
725,0.005517972,0
726,0.016534087,0
727,3.44E-05,0
728,0.000450541,0
729,0.000276728,0
730,0.171501962,1
731,0.000417088,0
732,0.118355995,0
733,4.077569345,1
734,1.31E-06,0
735,0.072727321,0
736,0.457504928,1
737,0.000667183,0
738,0.004256235,0
739,0.024973948,0
740,0.000334268,0
741,0.721487076,1
742,0.148898192,1
743,0.014331299,0
744,0.073089145,0
745,0.015145361,0
746,0.007336972,0
747,0.014650866,0
748,3.07E-10,0
749,0.001181244,0
750,4.21E-05,0
751,0.00124353,0
752,0.137423863,0
753,0.000446998,0
754,0.745970062,1
755,0.000214928,0
756,0.068659657,0
757,0.077541001,0
758,0.000584519,0
759,0.005564806,0
760,1.123146097,1
761,0.000570685,0
762,0.000562592,0
763,0.000327348,0
764,0.131134326,0
765,0.060940682,0
766,0.002384323,0
767,0.001610385,0
768,0.038873153,0
769,0.005452954,0
